Age_Group,Population,AgeStart,Year,Sex,Cumulative_Population,Kx,C(x) - Kx,Smoothed C(x) - Kx,Smoothed C(x),Smoothed Population
0-4,6478381.0,0,2020,Both sexes,6478381.0,0.0,6478381.0,6422614.181965103,6422614.181965103,6422614.181965103
5-9,5747300.0,5,2020,Both sexes,12225681.0,3178563.125,9047117.875,9086980.729880422,12265543.854880422,5842929.672915319
10-14,5052225.0,10,2020,Both sexes,17277906.0,6357126.25,10920779.75,11043721.10585004,17400847.35585004,5135303.500969619
15-19,4547132.0,15,2020,Both sexes,21825038.0,9535689.375,12289348.625,12300784.4038682,21836473.7788682,4435626.4230181575
20-24,3897135.5,20,2020,Both sexes,25722173.5,12714252.5,13007921.0,12879514.04824588,25593766.54824588,3757292.7693776824
25-29,3117390.0,25,2020,Both sexes,28839563.5,15892815.625,12946747.875,12814647.793610808,28707463.418610808,3113696.8703649268
30-34,2382902.0,30,2020,Both sexes,31222465.5,19071378.75,12151086.75,12154317.72490745,31225696.47490745,2518233.056296643
35-39,1857881.5,35,2020,Both sexes,33080347.0,22249941.875,10830405.125,10960050.257397015,33209992.132397015,1984295.6574895643
40-44,1548385.0,40,2020,Both sexes,34628732.0,25428505.0,9200227.0,9306766.136657458,34735271.13665746,1525279.0042604469
45-49,1256291.0,45,2020,Both sexes,35885023.0,28607068.125,7277954.875,7282780.438583478,35889848.56358348,1154577.4269260168
50-54,975438.0,50,2020,Both sexes,36860461.0,31785631.25,5074829.75,4989802.569386493,36775433.8193865,885585.2558030188
55-59,734529.0,55,2020,Both sexes,37594990.0,34964194.375,2630795.625,2542936.2655947013,37507130.6405947,731696.8212082013
60-64,547767.5,60,2020,Both sexes,38142757.5,38142757.5,0.0,70679.59405301698,38213437.094053015,706306.4534583166
